Binary adder NDA

Step   1: x=0.109090, y=0.250074
Step   2: x=0.112727, y=0.250371
Step   3: x=0.113454, y=0.251856
Step   4: x=0.113600, y=0.259280
Step   5: x=0.113629, y=0.296400
Step   6: x=0.113634, y=0.482002
Step   7: x=0.131817, y=0.410012
Step   8: x=0.135454, y=0.050063
Step   9: x=0.190727, y=0.250319
Step  10: x=0.201781, y=0.251596
Step  11: x=0.203992, y=0.257984
Step  12: x=0.204434, y=0.289920
Step  13: x=0.204523, y=0.449600
Step  14: x=0.222722, y=0.248000
Step  15: x=0.208180, y=0.240000
Step  16: x=0.205272, y=0.200000
Step  17: x=0.204690, y=0.000000
Step  18: x=0.296181, y=0.200000
Step  19: x=0.389999, y=0.200000
Step  20: x=0.404541, y=0.240000
Step  21: x=0.386341, y=0.448000
Step  22: x=0.386253, y=0.289600
Step  23: x=0.385810, y=0.257920
Step  24: x=0.383599, y=0.251584
Step  25: x=0.372545, y=0.250316
Step  26: x=0.408181, y=0.050063
Step  27: x=0.495454, y=0.410012
Step  28: x=0.171818, y=0.050063
Step  29: x=0.197999, y=0.250316
Step  30: x=0.203236, y=0.251584
Step  31: x=0.204283, y=0.257920
Step  32: x=0.204493, y=0.289600
Step  33: x=0.204534, y=0.448000
Step  34: x=0.222725, y=0.240000
Step  35: x=0.208181, y=0.200000
Step  36: x=0.205272, y=0.000000
Step  37: x=0.299090, y=0.200000
Step  38: x=0.404543, y=0.200000
Step  39: x=0.386353, y=0.440000
Step  40: x=0.386311, y=0.288000
Step  41: x=0.386101, y=0.257600
Step  42: x=0.385054, y=0.251520
Step  43: x=0.379818, y=0.250304
Step  44: x=0.444545, y=0.050060
Step  45: x=0.495454, y=0.810012
Step  46: x=0.477271, y=0.562002
Step  47: x=0.168181, y=0.810012
Step  48: x=0.179090, y=0.050060
Step  49: x=0.199454, y=0.250304
Step  50: x=0.203527, y=0.251520
Step  51: x=0.204341, y=0.257600
Step  52: x=0.204504, y=0.288000
Step  53: x=0.204537, y=0.440000
Step  54: x=0.222725, y=0.200000
Step  55: x=0.208181, y=0.000000
Step  56: x=0.313634, y=0.200000
Step  57: x=0.386355, y=0.400000
Step  58: x=0.386322, y=0.280000
Step  59: x=0.386159, y=0.256000
Step  60: x=0.385345, y=0.251200
Step  61: x=0.381272, y=0.250240
Step  62: x=0.451818, y=0.050048
Step  63: x=0.531817, y=0.810009
Step  64: x=0.477271, y=0.962001
Step  65: x=0.477265, y=0.392400
Step  66: x=0.149998, y=0.962001
Step  67: x=0.175454, y=0.810009
Step  68: x=0.180545, y=0.050048
Step  69: x=0.199745, y=0.250240
Step  70: x=0.203585, y=0.251200
Step  71: x=0.204353, y=0.256000
Step  72: x=0.204507, y=0.280000
Step  73: x=0.204537, y=0.400000
Step  74: x=0.222725, y=0.000000
Step  75: x=0.295446, y=0.400000
Step  76: x=0.568143, y=0.200000
Step  77: x=0.567989, y=0.240000
Step  78: x=0.567221, y=0.248000
Step  79: x=0.563381, y=0.249600
Step  80: x=0.635090, y=0.049920
Step  81: x=0.720908, y=0.809984
Step  82: x=0.695453, y=0.961996
Step  83: x=0.659083, y=0.792399
Step  84: x=0.659054, y=0.358479
Step  85: x=0.168174, y=0.792399
Step  86: x=0.160907, y=0.961996
Step  87: x=0.177636, y=0.809984
Step  88: x=0.180981, y=0.049920
Step  89: x=0.199832, y=0.249600
Step  90: x=0.203602, y=0.248000
Step  91: x=0.204356, y=0.240000
Step  92: x=0.204507, y=0.200000
Step  93: x=0.204537, y=0.000000
Step  94: x=0.295416, y=0.200000
Step  95: x=0.386175, y=0.200000
Step  96: x=0.385421, y=0.240000
Step  97: x=0.381650, y=0.248000
Step  98: x=0.453709, y=0.049600
Step  99: x=0.541272, y=0.809920
Step 100: x=0.524544, y=0.961984
Step 101: x=0.531810, y=0.792396
Step 102: x=0.477236, y=0.958479
Step 103: x=0.477090, y=0.391695
Step 104: x=0.149963, y=0.958479
Step 105: x=0.175447, y=0.792396
Step 106: x=0.162362, y=0.961984
Step 107: x=0.177926, y=0.809920
Step 108: x=0.181039, y=0.049600
